REF,Nom,URL,Inclu ?,Explication RETENU,Fait
ANSS,anssi_back to basics_standalone_server_1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_back%20to%20basics_standalone_server_1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS1,anssi_back to basics_AD_DS_member_server_1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_back%20to%20basics_AD_DS_member_server_1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
BACK,20240829_Back to Basics_DDOS.pdf,https://messervices.cyber.gouv.fr/documents-guides/20240829_Back%20to%20Basics_DDOS.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS2,anssi-avis_scientifiques_et_techniques-modele_zero_trust.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-avis_scientifiques_et_techniques-modele_zero_trust.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
AVIS,Avis de l'ANSSI sur la migration vers la cryptographie.pdf,https://messervices.cyber.gouv.fr/documents-guides/Avis%20de%20l%27ANSSI%20sur%20la%20migration%20vers%20la%20cryptographie.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
DOCU,Document_Analyse_de_risques_FR.pdf,https://messervices.cyber.gouv.fr/documents-guides/Document_Analyse_de_risques_FR.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPAN,20220516_np_anssi_guide_com_crise_cyber_en.pdf,https://messervices.cyber.gouv.fr/documents-guides/20220516_np_anssi_guide_com_crise_cyber_en.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS3,anssi_fundamentals_securing_wmware_infrastructure_v.1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_fundamentals_securing_wmware_infrastructure_v.1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPAN1,20150713_NP_ANSSI_SDE_firewall_mid_term_v1.0-en.pdf,https://messervices.cyber.gouv.fr/documents-guides/20150713_NP_ANSSI_SDE_firewall_mid_term_v1.0-en.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
SECU,security_recommandations_for_a_generative_ai_system.pdf,https://messervices.cyber.gouv.fr/documents-guides/security_recommandations_for_a_generative_ai_system.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
GUID,2010-12-03_Guide_externalisation.pdf,https://messervices.cyber.gouv.fr/documents-guides/2010-12-03_Guide_externalisation.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS4,anssi-guide-passerelle_internet_securisee-v3.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-passerelle_internet_securisee-v3.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
HIGH,high_level_risks_analysis_ai_paris_summit.pdf,https://messervices.cyber.gouv.fr/documents-guides/high_level_risks_analysis_ai_paris_summit.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
REFE,Referentiel_exigences_prestataires_integration_maintenance_V1_0.1.pdf,https://messervices.cyber.gouv.fr/documents-guides/Referentiel_exigences_prestataires_integration_maintenance_V1_0.1.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
PSSI,pssi-section1-introduction-2004-03-03.pdf,https://messervices.cyber.gouv.fr/documents-guides/pssi-section1-introduction-2004-03-03.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS5,anssi-guide-recommandations-securite-pour-mise-en-oeuvre-dispositifs-videoprotection-obsolete.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-recommandations-securite-pour-mise-en-oeuvre-dispositifs-videoprotection-obsolete.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS6,anssi_essentiels_zero_trust_1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_essentiels_zero_trust_1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS7,anssi_back to basics_zero_trust_1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_back%20to%20basics_zero_trust_1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS8,anssi_supervision_piloter_un_projet_de_supervision_1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_supervision_piloter_un_projet_de_supervision_1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS9,anssi-guide-guide-securite-technologies-sans-contact-pour-controle-acces-physiques-v1.0-obsolete.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-guide-securite-technologies-sans-contact-pour-controle-acces-physiques-v1.0-obsolete.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
FICH,Fiche_methode_Systeme_dinformation _isole_et_simple.pdf,https://messervices.cyber.gouv.fr/documents-guides/Fiche_methode_Systeme_dinformation%20_isole_et_simple.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPPO,NP_Politique_pare_feu_NoteTech.pdf,https://messervices.cyber.gouv.fr/documents-guides/NP_Politique_pare_feu_NoteTech.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPAN2,20150713_NP_ANSSI_SDE_vpn_mid_term_v1.0-en.pdf,https://messervices.cyber.gouv.fr/documents-guides/20150713_NP_ANSSI_SDE_vpn_mid_term_v1.0-en.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
SYST,Système de contrôle d_accès physique v1-1-fr.pdf,https://messervices.cyber.gouv.fr/documents-guides/Syst%C3%A8me%20de%20contr%C3%B4le%20d_acc%C3%A8s%20physique%20v1-1-fr.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
CYBE,cyber-attacks-remediation-the-keys-to-decision-making.pdf,https://messervices.cyber.gouv.fr/documents-guides/cyber-attacks-remediation-the-keys-to-decision-making.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPTL,NP_TLS_NoteTech.pdf,https://messervices.cyber.gouv.fr/documents-guides/NP_TLS_NoteTech.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS10,anssi_amrae-guide-maitrise_risque_numerique-atout_confiance.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_amrae-guide-maitrise_risque_numerique-atout_confiance.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
